Origin IATA,Destination IATA,OCity,DCity,Fclass Seats,Bclass Seats,Eclass Seats,Total Seats
JFK,LHR,New York,London,22,70,273,365
MIA,LHR,Miami,London,22,70,273,365
PHL,VCE,Philadelphia,Venezia,0,0,250,0
EZE,MIA,Ezeiza,Miami,0,0,291,291
PHL,LHR,Philadelphia,London,0,48,204,252
PHL,LHR,Philadelphia,London,0,48,204,252
MIA,LHR,Miami,London,22,70,273,365
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
PHL,LHR,Philadelphia,London,0,48,204,252
PHL,LHR,Philadelphia,London,0,48,204,252
ORD,CDG,Chicago,Paris,0,48,204,252
MIA,LHR,Miami,London,22,70,273,365
CLT,LHR,Charlotte,London,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
MIA,GRU,Miami,Sao Paulo,22,70,273,365
JFK,LHR,New York,London,22,70,273,365
PHL,LHR,Philadelphia,London,0,48,204,252
MIA,EZE,Miami,Ezeiza,0,0,250,0
JFK,MAD,New York,Madrid,0,0,291,291
CLT,LHR,Charlotte,London,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
MIA,GRU,Miami,Sao Paulo,22,70,273,365
MIA,EZE,Miami,Ezeiza,0,0,250,0
MIA,EZE,Miami,Ezeiza,0,0,250,0
CLT,LHR,Charlotte,London,0,0,291,291
MIA,MAD,Miami,Madrid,0,48,204,252
MIA,EZE,Miami,Ezeiza,0,0,250,0
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,48,204,252
EZE,JFK,Ezeiza,New York,0,0,291,291
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,48,204,252
EZE,JFK,Ezeiza,New York,0,0,291,291
CLT,LHR,Charlotte,London,0,0,291,291
EZE,JFK,Ezeiza,New York,0,0,291,291
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
GRU,MIA,Sao Paulo,Miami,22,70,273,365
MIA,GRU,Miami,Sao Paulo,22,70,273,365
CLT,LHR,Charlotte,London,0,0,291,291
EZE,JFK,Ezeiza,New York,0,0,291,291
JFK,MAD,New York,Madrid,0,0,291,291
JFK,ATH,New York,Athens,0,0,291,291
EZE,JFK,Ezeiza,New York,0,0,291,291
EZE,JFK,Ezeiza,New York,0,0,291,291
GRU,MIA,Sao Paulo,Miami,22,70,273,365
EZE,JFK,Ezeiza,New York,0,0,291,291
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
MIA,GRU,Miami,Sao Paulo,22,70,273,365
GRU,MIA,Sao Paulo,Miami,22,70,273,365
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
CLT,LHR,Charlotte,London,0,0,291,291
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
GRU,MIA,Sao Paulo,Miami,22,70,273,365
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,48,204,252
MIA,MAD,Miami,Madrid,0,48,204,252
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,48,204,252
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
GRU,MIA,Sao Paulo,Miami,22,70,273,365
PHX,LHR,Phoenix,London,0,0,291,291
PHX,LHR,Phoenix,London,0,0,291,291
GRU,JFK,Sao Paulo,New York,0,0,291,291
LAX,LHR,Los Angeles,London,22,70,273,365
DFW,GRU,Dallas-Fort Worth,Sao Paulo,0,48,204,252
GRU,MIA,Sao Paulo,Miami,22,70,273,365
GRU,MIA,Sao Paulo,Miami,22,70,273,365
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
GRU,JFK,Sao Paulo,New York,0,0,291,291
GRU,JFK,Sao Paulo,New York,0,0,291,291
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
DFW,EZE,Dallas-Fort Worth,Ezeiza,0,0,291,291
MIA,GIG,Miami,Rio De Janeiro,0,0,291,291
PHL,LHR,Philadelphia,London,0,48,204,252
LAX,LHR,Los Angeles,London,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
PHX,LHR,Phoenix,London,0,0,291,291
GRU,JFK,Sao Paulo,New York,0,0,291,291
ORD,LHR,Chicago,London,0,48,204,252
ORD,LHR,Chicago,London,0,48,204,252
CLT,LHR,Charlotte,London,0,0,291,291
MIA,GRU,Miami,Sao Paulo,22,70,273,365
MIA,LHR,Miami,London,22,70,273,365
GRU,JFK,Sao Paulo,New York,0,0,291,291
PHX,LHR,Phoenix,London,0,0,291,291
JFK,DEL,New York,New Delhi,22,70,273,365
PHX,LHR,Phoenix,London,0,0,291,291
JFK,DEL,New York,New Delhi,22,70,273,365
GRU,JFK,Sao Paulo,New York,0,0,291,291
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
JFK,DEL,New York,New Delhi,22,70,273,365
MIA,EZE,Miami,Ezeiza,0,0,250,0
DFW,DUB,Dallas-Fort Worth,Dublin,0,0,250,0
JFK,MXP,New York,Milan,0,0,291,291
JFK,DEL,New York,New Delhi,22,70,273,365
ORD,LHR,Chicago,London,0,48,204,252
ORD,LHR,Chicago,London,0,48,204,252
HAV,MIA,Havana,Miami,0,0,250,0
ORD,CDG,Chicago,Paris,0,48,204,252
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
PHL,LIS,Philadelphia,Lisbon,0,0,250,0
